Project,Monitoring Season,Site,Date,Time,Temp C,Specific Cond µS/cm,DO %,DO mg/L,pH,Turbidity FNU,Depth m,Battery V
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,0:00:00,4.446,443.2,122.9,15.91,9.1,18.87,0.356,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,2:00:00,4.283,439.7,118.8,15.44,9.09,19.08,0.352,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,4:00:00,4.257,441.9,118.1,15.36,9.08,18.23,0.342,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,6:00:00,4.175,441.5,115.4,15.03,9.06,18.55,0.33,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,8:00:00,3.975,432.2,111.7,14.63,9.06,17.02,0.321,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,10:00:00,4.065,428.7,109.2,14.27,9.03,19.73,0.31,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,12:00:00,4.786,427,114.3,14.67,9.04,19.59,0.277,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,14:00:00,5.989,426.9,124.6,15.5,9.09,18.13,0.272,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,16:00:11,7.112,423.5,131.3,15.88,9.1,17.8,0.298,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,18:00:00,6.65,425.1,131.5,16.08,9.1,18.39,0.327,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,20:00:12,6.433,425.4,127.3,15.65,9.09,18.13,0.363,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/9/2020,22:00:13,6.154,426.6,123.5,15.3,9.07,17.05,0.393,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,0:00:00,6.057,431.5,126.8,15.75,9.1,17.64,0.422,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,2:00:00,5.769,432.7,124.3,15.55,9.09,19.41,0.444,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,4:00:00,5.478,433.6,120.5,15.18,9.07,17.81,0.468,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,6:00:00,5.258,432.9,116.9,14.82,9.04,18.12,0.481,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,8:00:00,5.071,433,114,14.51,9.02,17.86,0.48,6.15
